Material ID,Material Name,Category,Current Stock,Minimum Stock,Required Qty,Supplier,Lead Time(days),Unit Price,Delivery Reliability %,Project,Expected Delivery
M001,Cement,Concrete,1200,500,1800,Supplier A,5,8.5,98,Tower A,2026-07-15
M002,Steel Bars,Steel,250,400,900,Supplier B,14,650,88,Bridge,2026-07-22
M003,Bricks,Masonry,8000,3000,12000,Supplier C,4,0.65,97,Mall,2026-07-12
M004,Paint,Finishing,300,200,600,Supplier D,7,24,93,Hospital,2026-07-18
M005,Material 5,General,200,300,300,Supplier 6,8,11,85,Project 6,2026-08-06
M006,Material 6,General,240,300,360,Supplier 7,9,12.2,86,Project 1,2026-08-07
M007,Material 7,General,280,300,420,Supplier 8,10,13.4,87,Project 2,2026-08-08
M008,Material 8,General,320,300,480,Supplier 1,11,14.6,88,Project 3,2026-08-09
M009,Material 9,General,360,300,540,Supplier 2,12,15.8,89,Project 4,2026-08-10
M010,Material 10,General,400,300,600,Supplier 3,3,17,90,Project 5,2026-08-11
M011,Material 11,General,440,300,660,Supplier 4,4,18.2,91,Project 6,2026-08-12
M012,Material 12,General,480,300,720,Supplier 5,5,19.4,92,Project 1,2026-08-13
M013,Material 13,General,520,300,780,Supplier 6,6,20.6,93,Project 2,2026-08-14
M014,Material 14,General,560,300,840,Supplier 7,7,21.8,94,Project 3,2026-08-15
M015,Material 15,General,600,300,900,Supplier 8,8,23,95,Project 4,2026-08-16
M016,Material 16,General,640,300,960,Supplier 1,9,24.2,96,Project 5,2026-08-17
M017,Material 17,General,680,300,1020,Supplier 2,10,25.4,97,Project 6,2026-08-18
M018,Material 18,General,720,300,1080,Supplier 3,11,26.6,98,Project 1,2026-08-19
M019,Material 19,General,760,300,1140,Supplier 4,12,27.8,99,Project 2,2026-08-20
M020,Material 20,General,800,300,1200,Supplier 5,3,29,80,Project 3,2026-08-21
M021,Material 21,General,840,300,1260,Supplier 6,4,30.2,81,Project 4,2026-08-22
M022,Material 22,General,880,300,1320,Supplier 7,5,31.4,82,Project 5,2026-08-23
M023,Material 23,General,920,300,1380,Supplier 8,6,32.6,83,Project 6,2026-08-24
M024,Material 24,General,960,300,1440,Supplier 1,7,33.8,84,Project 1,2026-08-25
M025,Material 25,General,1000,300,1500,Supplier 2,8,35,85,Project 2,2026-08-26
M026,Material 26,General,1040,300,1560,Supplier 3,9,36.2,86,Project 3,2026-08-27
M027,Material 27,General,1080,300,1620,Supplier 4,10,37.4,87,Project 4,2026-08-28
M028,Material 28,General,1120,300,1680,Supplier 5,11,38.6,88,Project 5,2026-08-01
M029,Material 29,General,1160,300,1740,Supplier 6,12,39.8,89,Project 6,2026-08-02
M030,Material 30,General,1200,300,1800,Supplier 7,3,41,90,Project 1,2026-08-03
M031,Material 31,General,1240,300,1860,Supplier 8,4,42.2,91,Project 2,2026-08-04
M032,Material 32,General,1280,300,1920,Supplier 1,5,43.4,92,Project 3,2026-08-05
M033,Material 33,General,1320,300,1980,Supplier 2,6,44.6,93,Project 4,2026-08-06
M034,Material 34,General,1360,300,2040,Supplier 3,7,45.8,94,Project 5,2026-08-07
M035,Material 35,General,1400,300,2100,Supplier 4,8,47,95,Project 6,2026-08-08
M036,Material 36,General,1440,300,2160,Supplier 5,9,48.2,96,Project 1,2026-08-09
M037,Material 37,General,1480,300,2220,Supplier 6,10,49.4,97,Project 2,2026-08-10
M038,Material 38,General,1520,300,2280,Supplier 7,11,50.6,98,Project 3,2026-08-11
M039,Material 39,General,1560,300,2340,Supplier 8,12,51.8,99,Project 4,2026-08-12
M040,Material 40,General,1600,300,2400,Supplier 1,3,53,80,Project 5,2026-08-13
